Products,Price($),URL
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUSX W-10GD (rev. 2.0) (LHR),2301,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorusx-w-10g-v2-0/p/N82E16814932472?Description=3080&cm_re=3080-_-14-932-472-_-Product
GIGABYTE GeForce RTX 3080 VISION OC 10GB Video Card GV-N3080VISION OC-10GDNOT LHR,2320,https://www.newegg.ca/p/1FT-000A-002C6?Description=3080&cm_re=3080-_-9SIAPBWFD56637-_-Product
MSI Suprim GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 SUPRIM X 10G,2356,https://www.newegg.ca/msi-geforce-rtx-3080-rtx3080-suprim-x-10g/p/N82E16814137609?Description=3080&cm_re=3080-_-14-137-609-_-Product
GDDR6X Gigabyte GeForce RTX 3080 GAMING OC 10G LHR Graphics Card 320bit PCI Express 4.0 16X PC RTX,2392,https://www.newegg.ca/p/1FT-000A-003U5?Description=3080&cm_re=3080-_-9SIB42GHD95676-_-Product
ZOTAC AMP Extreme Holo GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card ZT-A30810B-10P,2399,https://www.newegg.ca/zotac-geforce-rtx-3080-ti-zt-a30810b-10p/p/N82E16814500527?Description=3080&cm_re=3080-_-14-500-527-_-Product
GAINWARD GeForce RTX 3080  Glare G Edition Gaming Graphics Card (PCIe 4.0 10GB GDDR6X HDMI 2.1 320bit 1710MHz),2399,https://www.newegg.ca/gainward-ga102-202/p/27N-0075-00017?Description=3080&cm_re=3080-_-27N-0075-00017-_-Product
GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080EAGLE-12GD Video Card,2426,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080eagle-12gd/p/N82E16814932490?Description=3080&cm_re=3080-_-14-932-490-_-Product
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3080-10G-GAMING,2445,https://www.newegg.ca/asus-geforce-rtx-3080-rog-strix-rtx3080-10g-gaming/p/N82E16814126469?Description=3080&cm_re=3080-_-9SIAVT9HA37549-_-Product
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3080-O10G-GAMING,2447,https://www.newegg.ca/asus-geforce-rtx-3080-rog-strix-rtx3080-o10g-gaming/p/N82E16814126457?Description=3080&cm_re=3080-_-14-126-457-_-Product
ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0 12GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification GPU Tweak) and ASUS AM4 TUF Gaming X570-Plus (Wi-Fi) ATX Motherboard wi,2459,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4471459
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0 10GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification GPU Tweak II) and Intel Core i9-11900K - Core i9 11th Gen Rocket Lak,2494,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4433975
MSI GeForce RTX 3080 SUPRIM X 10G LHR Graphics Card 10GB 320-bit GDDR6X PCI Express 4.0 1×HDMI 2.1 Interface 3×DisplayPort 1.4a Interface,2499,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-suprim-x-10g-lhr/p/1FT-0009-008A4?Description=3080&cm_re=3080-_-9SIADDZGPR8609-_-Product
GIGABYTE Vision GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TVISION OC-12GD,2519,https://www.newegg.ca/p/1FT-000A-002A5?Description=3080&cm_re=3080-_-1FT-000A-002A5-_-Product
MSI Gaming Z Trio 10G LHR NVIDIA GeForce RTX 3080 10GB GDDR6X Graphics Card,2533,https://www.newegg.ca/p/1FT-0009-008E2?Description=3080&cm_re=3080-_-1FT-0009-008E2-_-Product
MSI Raphic Cards GeForce RTX 3080 GAMING Z TRIO 10G LHR 10GB GDDR6X Graphics Cards 320bit HDCP,2536,https://www.newegg.ca/p/1FT-0009-008G8?Description=3080&cm_re=3080-_-1FT-0009-008G8-_-Product
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,2541,https://www.newegg.ca/p/1FT-0009-008V8?Description=3080&cm_re=3080-_-9SIB9EBH016309-_-Product
ASUS TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3080TI-O12G-GAMING and ASUS ROG STRIX Z590-A GAMING WIFI LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and Rosewill SMG750 80 Plus Gold Certified 750W,2543,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4452328
